key,true_angle,pred_angle,usage
left,0.2,-0.17455612123012543,none
center,0.0,-0.354326069355011,none
right,-0.2,-0.42912736535072327,none
left,0.2,-0.11249539256095886,none
center,0.0,-0.36635103821754456,none
right,-0.2,-0.4259452521800995,none
left,0.2,-0.1857336014509201,none
center,0.0,-0.3513742983341217,none
right,-0.2,-0.4034883379936218,none
left,0.2,-0.09673132002353668,none
center,0.0,-0.3631986677646637,none
right,-0.2,-0.40122726559638977,none
left,0.2,-0.1890195906162262,none
center,0.0,-0.3665727376937866,none
right,-0.2,-0.41435033082962036,none
left,0.1342723,-0.24958665668964386,none
center,-0.0657277,-0.38956335186958313,none
right,-0.2657277,-0.43400466442108154,none
left,0.08262910000000001,-0.10242193937301636,none
center,-0.1173709,-0.36556196212768555,none
right,-0.3173709,-0.37087005376815796,train
left,0.04507040000000001,-0.2127722054719925,none
center,-0.1549296,-0.3886571228504181,none
right,-0.3549296,-0.4224356412887573,train
left,0.03098590000000001,-0.19452084600925446,none
center,-0.1690141,-0.37792590260505676,none
right,-0.3690141,-0.38044917583465576,none
left,-0.01596249999999999,-0.24681438505649567,none
center,-0.2159625,-0.3832191824913025,none
right,-0.4159625,-0.36621153354644775,none
left,-0.01596249999999999,-0.20315338671207428,none
center,-0.2159625,-0.3955509066581726,none
right,-0.4159625,-0.43489396572113037,none
left,-0.01596249999999999,-0.2666096091270447,none
center,-0.2159625,-0.43375831842422485,none
right,-0.4159625,-0.40503183007240295,none
left,-0.01596249999999999,-0.23215748369693756,none
center,-0.2159625,-0.4253981411457062,none
right,-0.4159625,-0.4164689779281616,none
left,-0.01596249999999999,-0.15759487450122833,none
center,-0.2159625,-0.40969789028167725,none
right,-0.4159625,-0.5010800361633301,train
left,-0.01596249999999999,-0.17732137441635132,none
center,-0.2159625,-0.4190496504306793,none
right,-0.4159625,-0.4341624677181244,none
left,-0.03474179999999999,-0.20645366609096527,none
center,-0.2347418,-0.4039718210697174,none
right,-0.4347418,-0.43766674399375916,none
left,-0.08638499999999999,-0.15108616650104523,none
center,-0.286385,-0.39248189330101013,none
right,-0.486385,-0.4998546242713928,train
left,-0.10516429999999999,-0.11544689536094666,none
center,-0.3051643,-0.3872411251068115,none
right,-0.5051643,-0.5428767204284668,train
left,-0.11455399999999999,-0.1124708503484726,none
center,-0.314554,-0.30508625507354736,none
right,-0.514554,-0.3828277885913849,none
left,-0.11924879999999999,-0.04771586135029793,none
center,-0.3192488,-0.283770352602005,none
right,-0.5192488,-0.4197136163711548,none
left,-0.11924879999999999,0.07773010432720184,none
center,-0.3192488,-0.2106035202741623,none
right,-0.5192488,-0.5154823064804077,train
left,-0.11924879999999999,-0.0033689700067043304,none
center,-0.3192488,-0.09999345242977142,none
right,-0.5192488,-0.47939378023147583,train
left,-0.11924879999999999,0.06025636941194534,none
center,-0.3192488,-0.20366795361042023,none
right,-0.5192488,-0.33985626697540283,train
left,0.2,0.0009176097810268402,none
center,0.0,-0.27578508853912354,none
right,-0.2,-0.3262958526611328,none
left,0.2,0.15776845812797546,none
center,0.0,-0.24435479938983917,none
right,-0.2,-0.3788108825683594,none
left,0.2,0.10426965355873108,none
center,0.0,-0.1733543425798416,none
right,-0.2,-0.37772780656814575,none
left,0.2,0.16169430315494537,none
center,0.0,-0.20532728731632233,none
right,-0.2,-0.35304364562034607,none
left,0.2,0.12328667938709259,none
center,0.0,-0.2210433930158615,none
right,-0.2,-0.40479063987731934,none
left,0.2,0.06882686913013458,none
center,0.0,-0.16759450733661652,none
right,-0.2,-0.39124080538749695,none
left,0.2,-0.027101989835500717,none
center,0.0,-0.2186015099287033,none
right,-0.2,-0.36265894770622253,train
left,0.2,0.006954748183488846,none
center,0.0,-0.1944197118282318,none
right,-0.2,-0.38064396381378174,none
left,0.2,-0.03369680419564247,none
center,0.0,-0.03960901498794556,none
right,-0.2,-0.35433757305145264,none
left,0.2,-0.02377009391784668,none
center,0.0,-0.0025382675230503082,none
right,-0.2,-0.3502119779586792,none
left,0.15774648000000002,0.11265641450881958,none
center,-0.04225352,-0.03474701941013336,none
right,-0.24225352,-0.4196940064430237,none
left,0.09201880000000001,0.12533165514469147,none
center,-0.1079812,-0.045000169426202774,none
right,-0.3079812,-0.40554746985435486,none
left,0.09201880000000001,0.06021345034241676,none
center,-0.1079812,-0.10837814211845398,none
right,-0.3079812,-0.38566407561302185,none
left,0.09201880000000001,0.08227483928203583,none
center,-0.1079812,-0.011560730636119843,none
right,-0.3079812,-0.4124594032764435,none
left,0.09201880000000001,-0.0241648331284523,none
center,-0.1079812,-0.06324209272861481,none
right,-0.3079812,-0.3088512718677521,train
left,0.09201880000000001,-0.004639521241188049,none
center,-0.1079812,-0.0498657189309597,none
right,-0.3079812,-0.3404213786125183,none
left,0.07793430000000001,-0.017740219831466675,none
center,-0.1220657,-0.12410785257816315,none
right,-0.3220657,-0.4094572961330414,none
left,0.06854460000000001,-0.01564214378595352,none
center,-0.1314554,-0.0723402202129364,none
right,-0.3314554,-0.36303117871284485,none
left,0.06854460000000001,0.11368638277053833,none
center,-0.1314554,-0.05942407622933388,none
right,-0.3314554,-0.36223727464675903,none
left,0.06854460000000001,0.07421664893627167,none
center,-0.1314554,-0.12726090848445892,train
right,-0.3314554,-0.3636827766895294,none
left,0.06854460000000001,-0.015407335013151169,none
center,-0.1314554,-0.10066492855548859,none
right,-0.3314554,-0.3553117513656616,none
left,0.06854460000000001,0.05108227580785751,none
center,-0.1314554,-0.10553400218486786,none
right,-0.3314554,-0.3639788031578064,none
left,0.06854460000000001,-0.07485345005989075,none
center,-0.1314554,-0.05115172639489174,none
right,-0.3314554,-0.3757178783416748,none
left,0.06854460000000001,0.014225002378225327,none
center,-0.1314554,-0.043842047452926636,none
right,-0.3314554,-0.3311956524848938,train
left,0.2,-0.05722628906369209,none
center,0.0,-0.1002848744392395,none
right,-0.2,-0.3559216260910034,none
left,0.2,-0.04002479836344719,none
center,0.0,-0.0791388601064682,none
right,-0.2,-0.3154771327972412,none
left,0.2,-0.03146127983927727,none
center,0.0,-0.06556229293346405,none
right,-0.2,-0.3342215120792389,none
left,0.2,-0.07503540813922882,none
center,0.0,-0.06863567233085632,none
right,-0.2,-0.4086872637271881,none
left,0.2,-0.011830080300569534,none
center,0.0,-0.07600590586662292,none
right,-0.2,-0.3776773512363434,none
left,0.16713615,0.12861570715904236,none
center,-0.03286385,-0.09335918724536896,none
right,-0.23286385,-0.3237408399581909,train
left,0.13896713,-0.038507815450429916,none
center,-0.06103287,-0.2234656661748886,none
right,-0.26103287000000003,-0.35123902559280396,none
left,0.08732390000000001,-0.022472791373729706,none
center,-0.1126761,-0.1923336237668991,none
right,-0.3126761,-0.36697715520858765,none
left,0.06384980000000001,-0.01755918189883232,none
center,-0.1361502,-0.2838281989097595,none
right,-0.3361502,-0.3502264618873596,none
left,0.05446010000000001,-0.13235463201999664,none
center,-0.1455399,-0.2817753255367279,none
right,-0.3455399,-0.3930584788322449,none
left,0.04037560000000001,-0.10821846127510071,none
center,-0.1596244,-0.2829994857311249,none
right,-0.3596244,-0.34410813450813293,none
left,0.04037560000000001,-0.0872223973274231,none
